key,begin,end,size,packages
10.203.246.116 58.192.119.56 443 55099 TCP,1558965251.176192,1558965288.480207,347610,"['1558965251.176192', '1558965288.480207', '347610', '14837', '28541', '28581', '30015', '30055', '31855', '31895', '47155', '47235', '56841', '600']"
10.203.246.116 58.192.119.56 443 55106 TCP,1558965251.176992,1558965288.479231,411263,"['1558965251.176992', '1558965288.479231', '411263', '14889', '15021', '15061', '15339', '15379', '16813', '18247', '18287', '27067', '27107', '30421', '33049', '47275', '58374', '58454', '480']"
10.203.246.116 168.63.244.178 443 55105 TCP,1558965251.959814,1558965253.366913,79758,"['1558965251.959814', '1558965253.366913', '79758', '1434', '2868', '4302', '4342', '5776', '5816', '7250', '7478', '7518', '7651', '2640', '2680', '3209', '4623', '5227', '773', '1426', '1466', '1506', '1773']"
10.203.246.116 168.63.244.178 443 55104 TCP,1558965252.40458,1558965253.366389,9357,"['1558965252.40458', '1558965253.366389', '9357', '91', '131', '660', '2074', '2549', '40', '653', '693', '733', '1733']"
10.203.246.116 202.119.21.56 55084 80 TCP,1558965253.688034,1558965288.47254,3331944,"['1558965253.688034', '1558965288.47254', '3331944', '7577', '7669', '1748', '1788', '2908', '2948', '3387', '4514', '5914', '7314', '7354', '8754', '10154', '11554', '11594', '12994', '13034', '14434', '15834', '17234', '17274', '18674', '18714', '20114', '20154', '21554', '21594', '22994', '24394', '25794', '25834', '27234', '27274', '28674', '30074', '31474', '31514', '32914', '32954', '34354', '34394', '35794', '37194', '37234', '38634', '38674', '40074', '40114', '41514', '41554', '42954', '44354', '45754', '45794', '47194', '47234', '48634', '48674', '50074', '51474', '52874', '52914', '54314', '54354', '55754', '55794', '57194', '57234', '58634', '58674', '60074', '61474', '61514', '62914', '64314', '64354', '65754', '65794', '67194', '67234', '68634', '68674', '70074', '70114', '71514', '1159', '1542', '2725', '3713', '3753', '4904', '5958', '5998', '7210', '10752', '17414', '18663', '19775', '19820', '19860', '23411', '25960', '26005', '26085', '280']"
10.203.246.116 168.63.244.178 443 55107 TCP,1558965253.699383,1558965256.087466,342075,"['1558965253.699383', '1558965256.087466', '342075', '7629', '7721', '7761', '8041', '9475', '10909', '12343', '12383', '13817', '13857', '15291', '15331', '15559', '15599', '15732', '15823', '15863', '16392', '17806', '18494', '18534', '19185', '19225', '19265', '40']"
10.203.246.116 202.119.21.56 55088 80 TCP,1558965258.408864,1558965258.436047,3755510,"['1558965258.408864', '1558965258.436047', '3755510', '1400', '1440', '2840', '4240', '4280', '5425', '5465', '6865', '6905', '8305', '9705', '9745', '11145', '11185', '12585', '12625', '14025', '14065', '15465', '15505', '16905', '16945', '18345', '18385', '19785', '19825', '21225', '21265', '22665', '22705', '24105', '24145', '25545', '25585', '26985', '27025', '28425', '28465', '29015', '30415', '30455', '31855', '31895', '33295', '33335', '34735', '34775', '36175', '36215', '37615', '37655', '39055', '39095', '39985', '40025', '41425', '41465', '42865', '42905', '44305', '44345', '45745', '45785', '47185', '47225', '48625', '48665', '50065', '50105', '51505', '51545', '52945', '52985', '54385', '54425', '55825', '55865', '57265', '57305', '58705', '58745', '60145', '60185', '61585', '61625', '63025', '63065', '63360', '64760', '66160', '67560', '67600', '69000', '70400', '70440', '71840', '71880', '73280', '74425', '75825']"
10.203.246.116 202.119.21.56 55087 80 TCP,1558965259.240065,1558965288.477563,622354,"['1558965259.240065', '1558965288.477563', '622354', '8405', '17097', '28119', '29368', '30768', '32085', '32125', '32170', '32210', '33524', '33587', '33627', '33667', '33992', '34037', '34077', '35241', '35281', '36307', '36347', '320']"
10.203.246.116 202.119.21.56 55085 80 TCP,1558965259.272558,1558965288.479776,153166,"['1558965259.272558', '1558965288.479776', '153166', '9562', '10792', '17017', '17057', '22203', '24699', '25231', '26045', '560']"
10.203.246.116 202.119.21.56 55111 80 TCP,1558965259.27256,1558965288.479412,263785,"['1558965259.27256', '1558965288.479412', '263785', '10712', '11174', '12358', '13758', '15158', '15198', '15645', '15685', '21068', '24659', '26900', '26940', '26985', '27025', '520']"
10.203.246.116 202.119.21.56 55112 80 TCP,1558965259.333289,1558965288.47796,160676,"['1558965259.333289', '1558965288.47796', '160676', '24619', '24739', '27677', '27717', '27762', '27802', '360']"
10.203.246.116 54.222.212.205 55108 80 TCP,1558965273.486212,1558965278.396005,8196,"['1558965273.486212', '1558965278.396005', '8196', '4018', '4058', '40', '80']"
10.203.246.116 54.222.212.205 55109 80 TCP,1558965278.485696,1558965288.457561,720,"['1558965278.485696', '1558965288.457561', '720', '120', '160', '200', '240']"
10.203.246.116 54.222.212.205 443 55110 TCP,1558965278.676345,1558965288.425787,1093,"['1558965278.676345', '1558965288.425787', '1093', '231', '271', '311', '120', '160']"
10.203.246.116 168.63.244.178 443 55115 TCP,1558965282.190661,1558965284.539247,39156,"['1558965282.190661', '1558965284.539247', '39156', '1600', '3439', '3479', '3759', '91', '131', '660', '2074', '2549', '3643', '4281', '4321', '4361', '4768']"
10.203.246.116 58.192.118.148 55116 80 TCP,1558965282.230398,1558965288.627603,71712,"['1558965282.230398', '1558965288.627603', '71712', '2011', '2115', '2155', '3347', '3387', '4267', '5307', '6677', '6717', '8087', '8463', '8503', '9676', '1000']"
10.203.246.116 58.192.118.148 55117 80 TCP,1558965282.230768,1558965288.627987,18404,"['1558965282.230768', '1558965288.627987', '18404', '2063', '2207', '2247', '10847', '1040']"
10.203.246.116 58.192.118.148 55118 80 TCP,1558965282.806278,1558965288.628406,3902579,"['1558965282.806278', '1558965288.628406', '3902579', '10899', '1370', '2740', '4150', '6720', '9500', '10910', '10950', '16390', '16430', '17800', '17840', '19210', '19250', '20620', '20660', '22030', '22070', '23440', '23480', '24850', '24890', '26260', '27630', '27670', '29040', '29080', '30450', '30490', '31860', '31900', '33270', '33310', '34680', '34720', '36090', '36130', '37500', '37540', '38910', '38950', '40320', '40360', '41730', '41770', '43140', '43180', '44550', '44590', '45960', '47330', '48700', '48740', '50110', '51480', '52850', '52890', '54260', '55630', '55670', '57040', '57080', '58450', '58490', '59860', '59900', '61270', '61310', '62680', '62720', '64090', '65460', '65500', '66870', '66910', '68280', '68320', '69690', '69730', '71100', '71140', '72510', '73880', '73920', '75290', '75330', '76700', '76740', '78110', '78150', '1120']"
10.203.246.116 58.192.118.148 55119 80 TCP,1558965282.80711,1558965288.628593,114171,"['1558965282.80711', '1558965288.628593', '114171', '10951', '4110', '4190', '5310', '5350', '8090', '9460', '9540', '12320', '13690', '14980', '15020', '1160']"
10.203.246.116 40.81.31.55 443 55061 TCP,1558965284.590832,1558965284.998168,160,"['1558965284.590832', '1558965284.998168', '160', '40', '40', '80']"
10.203.246.116 202.89.233.96 443 55056 TCP,1558965284.590885,1558965284.646917,4919,"['1558965284.590885', '1558965284.646917', '4919', '80', '1573', '1613', '1653']"
10.203.246.116 52.80.161.181 443 55114 TCP,1558965288.480333,timing...,680,"['1558965288.480333', 'timing...', '680', '680']"
10.203.246.116 52.80.161.181 443 55113 TCP,1558965288.48039,timing...,720,"['1558965288.48039', 'timing...', '720', '720']"
10.203.246.116 202.89.233.101 443 55081 TCP,1558965288.617946,timing...,760,"['1558965288.617946', 'timing...', '760', '760']"
10.203.246.116 202.89.233.101 443 55080 TCP,1558965288.618266,timing...,800,"['1558965288.618266', 'timing...', '800', '800']"
10.203.246.116 202.89.233.100 443 55079 TCP,1558965288.618832,timing...,840,"['1558965288.618832', 'timing...', '840', '840']"
10.203.246.116 202.89.233.100 443 55078 TCP,1558965288.619335,timing...,880,"['1558965288.619335', 'timing...', '880', '880']"
10.203.246.116 58.192.118.148 55120 80 TCP,1558965288.628236,timing...,1080,"['1558965288.628236', 'timing...', '1080', '1080']"
10.203.246.116 180.163.222.167 55121 80 TCP,1558965292.351038,1558965292.388033,32472,"['1558965292.351038', '1558965292.388033', '32472', '2278', '2330', '2370', '2951', '2991', '3820', '3860', '3900', '3940', '4032']"
10.203.246.116 180.163.243.154 55122 80 TCP,1558965292.381958,1558965329.607319,76290,"['1558965292.381958', '1558965329.607319', '76290', '3992', '4084', '4124', '4164', '4220', '4370', '4410', '4450', '4558', '4868', '5164', '5394', '5450', '6474', '294', '398', '212', '84', '296', '380', '592', '676', '888', '972', '1184', '1268', '1480', '1564', '40', '40', '80', '120']"
10.203.246.116 180.163.251.137 55123 80 TCP,1558965292.448949,1558965329.637786,44998,"['1558965292.448949', '1558965329.637786', '44998', '5502', '5554', '5594', '6120', '6160', '6434', '6514', '280', '1400', '1440']"
10.203.246.116 203.208.41.55 443 55125 TCP,1558965293.070266,1558965329.758026,772,"['1558965293.070266', '1558965329.758026', '772', '52', '40', '320', '360']"
10.203.246.116 40.77.224.8 443 54210 TCP,1558965296.959834,1558965299.044933,189230,"['1558965296.959834', '1558965299.044933', '189230', '516', '52', '92', '328', '1434', '2868', '4302', '4342', '5776', '5816', '7250', '7290', '8724', '8764', '9555', '9595', '9728', '10270', '10866', '10957', '10997', '11690', '11730', '1414', '1488', '1528', '15909', '15949']"
10.203.246.116 101.226.4.6 53 54206 TCP,1558965298.525552,1558965304.526173,1632,"['1558965298.525552', '1558965304.526173', '1632', '1580', '52']"
10.203.246.116 58.192.118.148 55135 80 TCP,1558965298.564967,1558965329.631773,739188,"['1558965298.564967', '1558965329.631773', '739188', '1005', '1513', '2553', '12673', '14043', '14083', '15453', '15493', '15533', '1026', '1469', '1514', '1554', '3902', '4709', '4789', '1545', '4345', '418', '1548', '2918', '4288', '4328', '5698', '7068', '8438', '8478', '8734', '8774', '9931', '11114', '12637', '13791', '13831', '15201', '16571', '17941', '17981', '21568', '21648', '39906', '61820', '69378', '70516', '71886', '73296', '400', '920', '960']"
10.203.246.116 58.192.118.148 54208 80 TCP,1558965298.850846,1558965329.633426,1144203,"['1558965298.850846', '1558965329.633426', '1144203', '396', '1548', '1588', '2958', '4328', '4368', '5738', '7108', '8478', '8518', '9888', '9928', '11263', '11303', '17001', '21761', '21813', '24297', '25449', '25489', '26859', '28229', '28269', '30443', '31813', '33183', '33223', '34593', '34633', '36003', '37373', '38743', '38783', '38998', '39038', '11074', '18021', '18586', '19725', '19765', '20198', '43826', '62271', '63408', '64778', '66188', '440', '1240', '1280']"
1.192.194.157 10.203.246.116 54216 80 TCP,1558965299.244045,1558965299.37125,207122,"['1558965299.244045', '1558965299.37125', '207122', '17387', '17439', '17479', '17981', '18021', '19455', '19792', '19832', '19872', '19912', '19952']"
10.203.246.116 36.110.236.45 54217 80 TCP,1558965299.411991,1558965329.724534,402087,"['1558965299.411991', '1558965329.724534', '402087', '20334', '20386', '20426', '20709', '21853', '22233', '22273', '22561', '22892', '22932', '23253', '23509', '23549', '23901', '29033', '29073', '16545', '16585', '40']"
10.203.246.116 36.110.236.217 54219 80 TCP,1558965299.728514,1558965329.725214,19436,"['1558965299.728514', '1558965329.725214', '19436', '468', '520', '560', '858', '898', '1515', '1555', '6451', '6491', '120']"
10.203.246.116 101.4.60.103 54221 80 TCP,1558965300.194897,1558965300.22711,2915,"['1558965300.194897', '1558965300.22711', '2915', '40', '307', '415', '495', '535', '1123']"
10.203.246.116 101.4.60.103 54220 80 TCP,1558965300.19547,1558965300.228051,5550,"['1558965300.19547', '1558965300.228051', '5550', '455', '803', '1003', '1043', '1083', '1163']"
10.203.246.116 101.4.60.103 54222 80 TCP,1558965300.678846,1558965300.777137,32466,"['1558965300.678846', '1558965300.777137', '32466', '279', '1118', '1158', '1454', '3917', '4225', '4794', '4834', '5160', '5527']"
10.203.246.116 101.4.60.103 54223 80 TCP,1558965300.679173,1558965300.772227,25156,"['1558965300.679173', '1558965300.772227', '25156', '331', '728', '768', '1066', '2458', '2727', '3797', '3837', '3957', '5487']"
10.203.246.116 180.97.63.237 54224 80 TCP,1558965300.728257,1558965300.741519,20653,"['1558965300.728257', '1558965300.741519', '20653', '52', '1597', '1637', '2009', '2049', '2298', '2338', '2378', '2418', '3877']"
10.203.246.116 101.4.60.61 54225 80 TCP,1558965300.75052,1558965300.811034,54185,"['1558965300.75052', '1558965300.811034', '54185', '5212', '5579', '5619', '5784', '6019', '6433', '6473', '6513', '6553']"
10.203.246.116 101.4.60.52 54226 80 TCP,1558965300.792572,1558965300.831987,49451,"['1558965300.792572', '1558965300.831987', '49451', '5979', '6872', '6912', '7227', '7447', '7487', '7527']"
10.203.246.116 202.119.24.249 54227 80 TCP,1558965300.833065,1558965329.724952,56093,"['1558965300.833065', '1558965329.724952', '56093', '7579', '7631', '7671', '8044', '8152', '8448', '8488', '80']"
10.203.246.116 222.192.185.19 54229 80 TCP,1558965301.136002,1558965329.725363,8898,"['1558965301.136002', '1558965329.725363', '8898', '1434', '2024', '2614', '2666', '160']"
10.203.246.116 101.226.4.6 53 54903 TCP,1558965301.537781,1558965304.537301,404,"['1558965301.537781', '1558965304.537301', '404', '300', '104']"
10.203.246.116 220.168.190.131 54904 80 TCP,1558965301.714855,1558965329.725482,3180048,"['1558965301.714855', '1558965329.725482', '3180048', '1214', '1595', '1635', '1910', '1950', '2448', '3882', '5316', '6750', '6790', '8224', '8264', '9698', '11132', '11172', '12606', '14040', '14080', '15514', '15554', '16988', '18422', '19856', '19896', '21330', '21370', '22804', '22844', '24278', '25712', '27146', '27186', '28620', '30054', '31488', '31528', '32962', '33002', '34436', '35870', '35910', '37344', '38778', '40212', '40252', '41686', '43120', '43160', '44594', '44634', '46068', '47502', '47542', '48976', '50410', '51844', '51884', '53318', '53358', '54792', '56226', '56266', '57700', '57740', '59174', '59214', '60648', '60688', '62122', '63556', '63596', '65030', '66464', '67898', '67938', '69372', '70806', '72240', '72280', '73714', '73754', '75188', '76622', '76662', '200']"
10.203.246.116 58.192.119.35 54907 80 TCP,1558965306.83869,1558965329.629458,13536,"['1558965306.83869', '1558965329.629458', '13536', '397', '441', '481', '1793', '1833', '2602', '4749', '80', '560', '600']"
10.203.246.116 58.192.118.148 54908 80 TCP,1558965307.009058,1558965329.633234,1613592,"['1558965307.009058', '1558965329.633234', '1613592', '2654', '3954', '3994', '12243', '21608', '1370', '2740', '4110', '5230', '5270', '6640', '8010', '9380', '9420', '10790', '10830', '12120', '13264', '13675', '14812', '16182', '17552', '17592', '20148', '21518', '21558', '22928', '24298', '25886', '29014', '33382', '33462', '34832', '36202', '36242', '37612', '47742', '47782', '49152', '50522', '51892', '53480', '73256', '73336', '77624', '79034', '79074', '80444', '81814', '81854', '83224', '480', '1160', '1200']"
10.203.246.116 36.110.213.230 54909 80 TCP,1558965307.340002,1558965307.36844,15627,"['1558965307.340002', '1558965307.36844', '15627', '5161', '5213', '5253']"
10.203.246.116 180.163.251.158 54912 80 TCP,1558965314.317194,1558965314.344016,6434,"['1558965314.317194', '1558965314.344016', '6434', '242', '294', '334', '602', '642', '1020', '1060', '1100', '1140']"
10.203.246.116 101.4.60.103 54913 80 TCP,1558965314.498419,1558965314.595183,46145,"['1558965314.498419', '1558965314.595183', '46145', '1691', '1743', '1783', '2051', '2091', '2360', '3794', '5228', '6291', '6331', '6371', '6411']"
10.203.246.116 101.4.60.77 54212 80 TCP,1558965315.174833,1558965315.206394,3570,"['1558965315.174833', '1558965315.206394', '3570', '197', '3373']"
10.203.246.116 58.192.118.148 54213 80 TCP,1558965315.175016,1558965315.176998,3447,"['1558965315.175016', '1558965315.176998', '3447', '237', '1585', '1625']"
10.203.246.116 58.192.118.148 54214 80 TCP,1558965315.175088,1558965315.177919,3807,"['1558965315.175088', '1558965315.177919', '3807', '277', '1745', '1785']"
10.203.246.116 58.192.118.148 54215 80 TCP,1558965315.175153,1558965315.17723,3687,"['1558965315.175153', '1558965315.17723', '3687', '317', '1665', '1705']"
10.203.246.116 58.192.118.148 54914 80 TCP,1558965315.354938,1558965329.631072,906983,"['1558965315.354938', '1558965329.631072', '906983', '18073', '21700', '21740', '18778', '29054', '29490', '30642', '32012', '33422', '41276', '41316', '42686', '45196', '45236', '60410', '61780', '61860', '66148', '67558', '67598', '68968', '320', '840', '880']"
10.203.246.116 58.192.118.148 54915 80 TCP,1558965315.355395,1558965329.632435,1145146,"['1558965315.355395', '1558965329.632435', '1145146', '18125', '21792', '21832', '24691', '25846', '25926', '27296', '27644', '29094', '38758', '52302', '53440', '53520', '54890', '56260', '57630', '59000', '59040', '84594', '85964', '87334', '88704', '88744', '520', '1080', '1120']"
10.203.246.116 58.192.118.148 54916 80 TCP,1558965315.356453,1558965329.632012,369497,"['1558965315.356453', '1558965329.632012', '369497', '18177', '46372', '73746', '74884', '76254', '77664', '360', '1000', '1040']"
10.203.246.116 222.192.185.34 55130 80 TCP,1558965322.42714,1558965329.630812,34332,"['1558965322.42714', '1558965329.630812', '34332', '4963', '6397', '7014', '7059', '7099', '240', '760', '800']"
10.203.246.116 180.163.255.159 443 54917 TCP,1558965322.525235,1558965329.637176,192306,"['1558965322.525235', '1558965329.637176', '192306', '7548', '7600', '7640', '7885', '7925', '9359', '10793', '12227', '12279', '12319', '12669', '12709', '12875', '13173', '13715', '14305', '14565', '40', '1320', '1360']"
10.203.246.116 222.192.185.34 55129 80 TCP,1558965328.689553,1558965329.629662,18248,"['1558965328.689553', '1558965329.629662', '18248', '17488', '120', '640']"
10.203.246.116 203.208.41.79 443 55128 TCP,1558965329.626925,1558965329.757816,600,"['1558965329.626925', '1558965329.757816', '600', '80', '240', '280']"
10.203.246.116 222.192.185.34 55132 80 TCP,1558965329.627718,1558965329.630108,840,"['1558965329.627718', '1558965329.630108', '840', '160', '680']"
10.203.246.116 222.192.185.34 55131 80 TCP,1558965329.627771,1558965329.630313,920,"['1558965329.627771', '1558965329.630313', '920', '200', '720']"
10.203.246.116 171.8.167.90 54918 80 TCP,1558965329.902023,1558965330.039413,14884,"['1558965329.902023', '1558965330.039413', '14884', '616', '1044', '1084', '1444', '1484', '1752', '1792', '1832', '1872', '1964']"
10.203.246.116 13.229.188.59 443 54919 TCP,1558965329.913011,1558965331.743676,131145,"['1558965329.913011', '1558965331.743676', '131145', '992', '2468', '2508', '1434', '2868', '3670', '3710', '3876', '3967', '4246', '4286', '4746', '5086', '5126', '5455', '5596', '5636', '5710', '5750', '5821', '5861', '5901', '5972', '6012', '6052', '6092', '6132', '6172']"
10.203.246.116 171.8.167.90 54920 80 TCP,1558965330.019763,1558965330.159108,26071,"['1558965330.019763', '1558965330.159108', '26071', '1924', '2016', '2056', '2416', '2548', '2816', '2856', '2896', '2936', '3607']"
10.203.246.116 180.163.251.158 54921 80 TCP,1558965330.14913,1558965330.175706,39322,"['1558965330.14913', '1558965330.175706', '39322', '3178', '3230', '3270', '3567', '3647', '4406', '4446', '4486', '4526', '4566']"
10.203.246.116 180.163.237.176 54922 80 TCP,1558965334.43834,1558965334.469117,21588,"['1558965334.43834', '1558965334.469117', '21588', '1107', '1159', '1199', '1484', '1944', '2859', '2899', '2939', '2979', '3019']"
10.203.246.116 180.163.251.158 54923 80 TCP,1558965334.504503,1558965334.53437,31895,"['1558965334.504503', '1558965334.53437', '31895', '3071', '3123', '3163', '3431', '3471', '3849', '3889', '3929', '3969']"
10.203.246.116 101.4.60.77 54924 80 TCP,1558965334.662817,1558965337.728371,44703,"['1558965334.662817', '1558965337.728371', '44703', '4405', '4663', '4703', '4925', '5139', '5179', '5219', '5215', '5255']"
10.203.246.116 202.119.24.249 54925 80 TCP,1558965334.703148,1558965334.708215,49467,"['1558965334.703148', '1558965334.708215', '49467', '5271', '5323', '5363', '5644', '5684', '5960', '7394', '8828']"
1.192.193.117 10.203.246.116 54926 80 TCP,1558965335.045932,1558965335.176716,16984,"['1558965335.045932', '1558965335.176716', '16984', '482', '643', '683', '1109', '1149', '2266', '2306', '2346', '2386', '3614']"
10.203.246.116 180.163.243.137 54927 80 TCP,1558965335.140348,1558965380.203661,86238,"['1558965335.140348', '1558965380.203661', '86238', '2438', '2490', '2530', '2570', '2626', '2776', '2816', '2856', '2968', '3278', '3574', '3860', '3916', '3956', '21766', '21818']"
10.203.246.116 74.86.118.24 443 54939 TCP,1558965361.131007,1558965370.13254,104,"['1558965361.131007', '1558965370.13254', '104', '52', '52']"
10.203.246.116 36.110.236.45 54940 80 TCP,1558965361.622824,1558965371.848296,32807,"['1558965361.622824', '1558965371.848296', '32807', '406', '458', '498', '781', '821', '1201', '1241', '1529', '1860', '1900', '2221', '2477', '2517', '2869', '3154', '3194', '706', '2467', '2507']"
10.203.246.116 180.97.63.237 54941 80 TCP,1558965362.079643,1558965362.093709,39457,"['1558965362.079643', '1558965362.093709', '39457', '3418', '3470', '3510', '3882', '3922', '4171', '4211', '4251', '4291', '4331']"
10.203.246.116 101.4.60.103 54942 80 TCP,1558965362.437605,1558965362.534518,54179,"['1558965362.437605', '1558965362.534518', '54179', '4882', '4934', '4974', '5306', '5346', '5613', '5721', '5761', '5801', '5841']"
10.203.246.116 58.192.118.148 54943 80 TCP,1558965363.610267,1558965383.099774,1386531,"['1558965363.610267', '1558965383.099774', '1386531', '6088', '6140', '6180', '7027', '7067', '7510', '7555', '7595', '1026', '1469', '1514', '1554', '8920', '9635', '9715', '10943', '13922', '15052', '16422', '17792', '17832', '19202', '20572', '21942', '21982', '22238', '22278', '31841', '31932', '31972', '32012', '34671', '35851', '37221', '38591', '38631', '38867', '40140', '41752', '43427', '44565', '45935', '47305', '47345', '48715', '58741', '58821', '60191', '61561', '62931', '64341']"
10.203.246.116 101.226.4.6 53 58217 TCP,1558965363.71922,1558965372.719932,21776,"['1558965363.71922', '1558965372.719932', '21776', '8009', '3734', '10033']"
10.203.246.116 74.86.118.24 443 54938 TCP,1558965363.881086,timing...,8061,"['1558965363.881086', 'timing...', '8061', '8061']"
10.203.246.116 58.192.118.148 58218 80 TCP,1558965363.899124,1558965373.93274,25699,"['1558965363.899124', '1558965373.93274', '25699', '8113', '8373', '8413', '40', '360', '400']"
10.203.246.116 58.192.118.148 58219 80 TCP,1558965363.899457,1558965373.934541,26615,"['1558965363.899457', '1558965373.934541', '26615', '8165', '8465', '8505', '80', '680', '720']"
10.203.246.116 58.192.118.148 58220 80 TCP,1558965363.899684,1558965373.933744,26571,"['1558965363.899684', '1558965373.933744', '26571', '8217', '8557', '8597', '120', '520', '560']"
10.203.246.116 58.192.118.148 58221 80 TCP,1558965363.899881,1558965373.93411,27231,"['1558965363.899881', '1558965373.93411', '27231', '8269', '8741', '8781', '200', '600', '640']"
10.203.246.116 58.192.118.148 58222 80 TCP,1558965363.900105,1558965373.933429,26739,"['1558965363.900105', '1558965373.933429', '26739', '8321', '8649', '8689', '160', '440', '480']"
10.203.246.116 58.192.119.35 58223 80 TCP,1558965366.810834,1558965366.898524,47642,"['1558965366.810834', '1558965366.898524', '47642', '5467', '5511', '5551', '6863', '6903', '7672', '9675']"
10.203.246.116 180.163.243.167 54929 80 TCP,1558965371.636315,1558965371.686083,1000,"['1558965371.636315', '1558965371.686083', '1000', '264', '348', '388']"
10.203.246.116 202.119.21.56 60961 80 TCP,1558965372.599286,1558965372.609909,40492,"['1558965372.599286', '1558965372.609909', '40492', '3570', '3614', '3654', '4534', '4574', '5005', '5045', '5228', '5268']"
10.203.246.116 203.208.41.55 443 54933 TCP,1558965372.60858,1558965372.608658,10210,"['1558965372.60858', '1558965372.608658', '10210', '5085', '5125']"
10.203.246.116 58.192.119.56 443 60962 TCP,1558965372.614158,1558965376.16841,747410,"['1558965372.614158', '1558965376.16841', '747410', '5657', '5709', '5749', '5994', '6034', '7468', '8902', '8942', '9155', '9521', '9620', '9660', '11445', '12242', '12696', '3234', '24683', '26117', '27551', '27591', '29025', '30459', '31582', '31622', '32976', '37167', '38601', '40035', '40075', '47672', '49106', '50540', '50580']"
10.203.246.116 101.226.4.6 53 60960 TCP,1558965372.724922,1558965378.723984,19310,"['1558965372.724922', '1558965378.723984', '19310', '10085', '9225']"
10.203.246.116 101.226.4.6 53 57178 TCP,1558965372.776168,1558965381.777252,10587,"['1558965372.776168', '1558965381.777252', '10587', '10483', '52', '52']"
10.203.246.116 101.226.4.6 53 59262 TCP,1558965372.82075,1558965381.820312,12916,"['1558965372.82075', '1558965381.820312', '12916', '12656', '104', '156']"
10.203.246.116 180.163.251.193 59263 80 TCP,1558965373.102877,1558965373.131618,137992,"['1558965373.102877', '1558965373.131618', '137992', '13156', '13208', '13248', '13745', '13785', '14090', '14130', '14170', '14210', '14250']"
10.203.246.116 39.96.132.158 59264 80 TCP,1558965373.63021,1558965373.710551,89482,"['1558965373.63021', '1558965373.710551', '89482', '14624', '14676', '14716', '15020', '15060', '15386']"
10.203.246.116 180.163.251.193 56518 80 TCP,1558965373.906636,1558965373.918827,2165,"['1558965373.906636', '1558965373.918827', '2165', '40', '345', '385', '425', '465', '505']"
10.203.246.116 58.205.221.188 56519 80 TCP,1558965373.947625,1558965373.97402,45026,"['1558965373.947625', '1558965373.97402', '45026', '350', '402', '442', '824', '864', '2298', '3732', '3945', '5379', '5419', '6853', '7239', '7279']"
10.203.246.116 101.226.4.6 53 55314 TCP,1558965373.982309,1558965382.982923,42010,"['1558965373.982309', '1558965382.982923', '42010', '7707', '52', '34251']"
10.203.246.116 202.119.21.56 55315 80 TCP,1558965374.048306,1558965374.496802,340104,"['1558965374.048306', '1558965374.496802', '340104', '7759', '8319', '8359', '10955', '10995', '512', '1566', '2966', '3006', '4406', '5806', '7206', '7246', '8646', '10046', '11446', '11486', '12886', '12926', '14326', '15726', '17126', '17166', '18566', '19966', '20006', '21406', '21446', '27833']"
10.203.246.116 202.119.21.56 55316 80 TCP,1558965374.048512,1558965380.306968,2039537,"['1558965374.048512', '1558965380.306968', '2039537', '7811', '8801', '8841', '22505', '27873', '28294', '29559', '30959', '31408', '31488', '22602', '33024', '34207', '34247', '35647', '37047', '38447', '38487', '39887', '41287', '42687', '42727', '44127', '45527', '46927', '48327', '48367', '49767', '51167', '51207', '52607', '54007', '55407', '56807', '56847', '58247', '59647', '59687', '61087', '62487', '63887', '65287', '65327', '24253', '46698', '47867', '47947', '48190']"
10.203.246.116 202.119.21.56 55317 80 TCP,1558965374.048667,1558965380.306557,728035,"['1558965374.048667', '1558965380.306557', '728035', '7863', '8885', '8925', '23624', '31448', '33435', '36020', '36100', '37500', '47712', '47792', '48366', '24816', '29092', '39685', '42061', '42101', '43501', '44901', '46301', '47907']"
10.203.246.116 202.119.21.56 55318 80 TCP,1558965374.048836,1558965379.290605,1523843,"['1558965374.048836', '1558965379.290605', '1523843', '7979', '8969', '9009', '24684', '27913', '40848', '42032', '42112', '43512', '51206', '51246', '52646', '62990', '64390', '65790', '65830', '67230', '68630', '70030', '70070', '71019', '73859', '77820', '23708', '65709', '66893', '68293', '69693', '69733']"
10.203.246.116 202.119.21.56 55319 80 TCP,1558965374.049055,1558965379.274245,1748808,"['1558965374.049055', '1558965379.274245', '1748808', '8095', '9396', '9436', '25736', '28334', '31887', '33054', '34835', '36060', '44912', '46312', '47752', '49766', '49806', '55910', '57310', '58710', '58750', '60150', '60190', '61590', '72419', '73819', '73899', '75299', '75339', '76739', '79220', '80620', '82020', '82060', '83460', '25923']"
10.203.246.116 202.119.21.56 55320 80 TCP,1558965374.049276,1558965379.278948,788817,"['1558965374.049276', '1558965379.278948', '788817', '8211', '9480', '9520', '26794', '28374', '37897', '39066', '40466', '42072', '54046', '54470', '54510', '6110', '6234', '7987', '9133', '9173', '10476', '11603', '13003', '13043', '14443', '15843', '15883', '17283', '18683', '20083', '20123', '21523', '28401', '29801', '31201', '31241', '32641']"
