key,begin,end,size,packages
10.203.246.116 23.99.125.55 443 55095 TCP,1558965250.018984,1558965253.162757,24049,"['1558965250.018984', '1558965253.162757', '24049', '4368', '5186', '5226', '5497', '66', '106', '254', '1653', '1693']"
10.203.246.116 23.99.125.55 443 55096 TCP,1558965250.59274,1558965252.465892,53752,"['1558965250.59274', '1558965252.465892', '53752', '19479', '7717', '7757', '8011', '5374', '5414']"
10.203.246.116 202.89.233.101 443 55097 TCP,1558965250.598584,1558965250.814629,672930,"['1558965250.598584', '1558965250.814629', '672930', '19756', '19808', '19848', '20089', '20129', '21563', '22997', '24431', '24471', '25905', '25945', '27210', '27250', '27383', '27510', '28547', '28587', '28627', '28718', '28827', '28905', '28945', '29023', '29420', '29498', '29538']"
10.203.246.116 23.57.66.75 443 55055 TCP,1558965250.908651,1558965250.909106,148445,"['1558965250.908651', '1558965250.909106', '148445', '29609', '29649', '29689', '29729', '29769']"
10.203.246.116 58.192.119.56 443 55100 TCP,1558965251.05331,1558965251.19869,538556,"['1558965251.05331', '1558965251.19869', '538556', '1434', '2868', '4302', '4342', '5776', '7210', '8333', '8373', '10261', '19721', '21155', '22589', '22629', '24063', '25497', '25537', '42395', '43829', '43909', '45343', '46092', '47195', '55703']"
10.203.246.116 58.192.119.56 443 55101 TCP,1558965251.176134,1558965251.191322,114891,"['1558965251.176134', '1558965251.191322', '114891', '11367', '34086', '34126', '35312']"
10.203.246.116 58.192.119.56 55098 80 TCP,1558965251.176144,1558965251.178339,41305,"['1558965251.176144', '1558965251.178339', '41305', '11407', '14929', '14969']"
10.203.246.116 58.192.119.56 443 55102 TCP,1558965251.176145,1558965253.681302,161449,"['1558965251.176145', '1558965253.681302', '161449', '12561', '26814', '26854', '39462', '2943', '3244', '3284', '4630', '5016', '5056', '6237', '6277', '6317', '6357', '6397']"
10.203.246.116 58.192.119.56 443 55103 TCP,1558965251.176163,1558965251.205112,1770062,"['1558965251.176163', '1558965251.205112', '1770062', '13699', '36746', '36786', '38220', '38260', '40961', '43869', '48709', '50143', '51577', '51617', '53051', '53091', '54525', '54565', '58275', '58414', '59888', '59928', '61362', '62796', '64230', '64270', '65704', '65744', '67178', '67218', '68652', '68692', '70126', '70166', '71600']"
10.203.246.116 58.192.119.56 443 55099 TCP,1558965251.176192,1558965251.198747,347010,"['1558965251.176192', '1558965251.198747', '347010', '14837', '28541', '28581', '30015', '30055', '31855', '31895', '47155', '47235', '56841']"
10.203.246.116 58.192.119.56 443 55106 TCP,1558965251.176992,1558965251.199968,410783,"['1558965251.176992', '1558965251.199968', '410783', '14889', '15021', '15061', '15339', '15379', '16813', '18247', '18287', '27067', '27107', '30421', '33049', '47275', '58374', '58454']"
